,Trip Id,Trip_Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,NumOfTrips,Start Time (minutes),End Time (minutes),Start Time (per 30min),End Time (per 30min)
259,18158743,3.4833333333333334,7389,2022-08-26 00:05:00,College Park- Gerrard Entrance,7406.0,2022-08-26 00:09:00,Victoria St / Queen St E,941,Annual Member,59,5,9,0.0,0.0
231,17821126,4.433333333333334,7389,2022-08-13 00:07:00,College Park- Gerrard Entrance,7406.0,2022-08-13 00:12:00,Victoria St / Queen St E,5348,Annual Member,59,7,12,0.0,0.0
619,18269298,11.666666666666666,7389,2022-08-30 00:14:00,College Park- Gerrard Entrance,7647.0,2022-08-30 00:25:00,Elm St/ University Ave (East Side),1621,Annual Member,4,14,25,0.0,0.0
315,17853590,12.45,7044,2022-08-14 00:14:00,Church St / Alexander St,7389.0,2022-08-14 00:27:00,College Park- Gerrard Entrance,7132,Casual Member,21,14,27,0.0,0.0
737,18108410,2.1,7647,2022-08-24 00:15:00,Elm St/ University Ave (East Side),7389.0,2022-08-24 00:17:00,College Park- Gerrard Entrance,5208,Casual Member,7,15,17,0.0,0.0
146,17987160,14.1,7269,2022-08-19 00:16:00,Toronto Eaton Centre (Yonge St),7044.0,2022-08-19 00:30:00,Church St / Alexander St,4743,Annual Member,12,16,30,0.0,1.0
243,18013357,3.6,7389,2022-08-20 00:27:00,College Park- Gerrard Entrance,7406.0,2022-08-20 00:31:00,Victoria St / Queen St E,1368,Annual Member,59,27,31,0.0,1.0
54,18135528,14.833333333333334,7044,2022-08-25 00:49:00,Church St / Alexander St,7033.0,2022-08-25 01:04:00,Union Station,7190,Casual Member,37,49,64,1.0,2.0
263,18217716,3.4166666666666665,7389,2022-08-28 00:42:00,College Park- Gerrard Entrance,7406.0,2022-08-28 00:46:00,Victoria St / Queen St E,2715,Annual Member,59,42,46,1.0,1.0
61,18269567,12.5,7044,2022-08-30 00:55:00,Church St / Alexander St,7033.0,2022-08-30 01:08:00,Union Station,2619,Annual Member,37,55,68,1.0,2.0
265,18245639,3.8833333333333333,7389,2022-08-29 00:31:00,College Park- Gerrard Entrance,7406.0,2022-08-29 00:35:00,Victoria St / Queen St E,4377,Annual Member,59,31,35,1.0,1.0
464,17882346,3.5,7406,2022-08-15 00:54:00,Victoria St / Queen St E,7389.0,2022-08-15 00:58:00,College Park- Gerrard Entrance,7104,Casual Member,31,54,58,1.0,1.0
801,17821824,3.25,7389,2022-08-13 00:57:00,College Park- Gerrard Entrance,7044.0,2022-08-13 01:00:00,Church St / Alexander St,6380,Annual Member,7,57,60,1.0,2.0
55,18135533,13.983333333333333,7044,2022-08-25 00:49:00,Church St / Alexander St,7033.0,2022-08-25 01:03:00,Union Station,4234,Casual Member,37,49,63,1.0,2.0
630,17639359,10.933333333333334,7044,2022-08-06 01:02:00,Church St / Alexander St,7009.0,2022-08-06 01:13:00,King St E / Jarvis St,110,Casual Member,10,62,73,2.0,2.0
195,17907778,22.1,7044,2022-08-16 01:14:00,Church St / Alexander St,7406.0,2022-08-16 01:36:00,Victoria St / Queen St E,3802,Annual Member,38,74,96,2.0,3.0
0,17516168,11.0,7066,2022-08-01 01:19:00,Willcocks St / St. George St,7406.0,2022-08-01 01:30:00,Victoria St / Queen St E,6913,Annual Member,5,79,90,2.0,3.0
366,17961398,5.833333333333333,7033,2022-08-18 01:19:00,Union Station,7389.0,2022-08-18 01:25:00,College Park- Gerrard Entrance,7218,Annual Member,26,79,85,2.0,2.0
568,17714179,10.85,7389,2022-08-09 01:19:00,College Park- Gerrard Entrance,7033.0,2022-08-09 01:30:00,Union Station,6183,Casual Member,31,79,90,2.0,3.0
569,17714184,8.566666666666666,7389,2022-08-09 01:21:00,College Park- Gerrard Entrance,7033.0,2022-08-09 01:30:00,Union Station,6920,Casual Member,31,81,90,2.0,3.0
414,17882535,14.883333333333333,7033,2022-08-15 01:34:00,Union Station,7009.0,2022-08-15 01:49:00,King St E / Jarvis St,1268,Annual Member,52,94,109,3.0,3.0
794,17961470,10.533333333333333,7408,2022-08-18 01:42:00,University Ave / Armoury St,7009.0,2022-08-18 01:52:00,King St E / Jarvis St,4309,Casual Member,4,102,112,3.0,3.0
105,17934961,3.5666666666666664,7269,2022-08-17 01:58:00,Toronto Eaton Centre (Yonge St),7389.0,2022-08-17 02:02:00,College Park- Gerrard Entrance,289,Casual Member,23,118,122,3.0,4.0
14,17516511,13.466666666666667,7408,2022-08-01 02:03:00,University Ave / Armoury St,7389.0,2022-08-01 02:16:00,College Park- Gerrard Entrance,5826,Casual Member,9,123,136,4.0,4.0
15,17516519,12.083333333333334,7408,2022-08-01 02:04:00,University Ave / Armoury St,7389.0,2022-08-01 02:16:00,College Park- Gerrard Entrance,355,Annual Member,9,124,136,4.0,4.0
462,17822465,5.35,7406,2022-08-13 02:01:00,Victoria St / Queen St E,7389.0,2022-08-13 02:06:00,College Park- Gerrard Entrance,5348,Casual Member,31,121,126,4.0,4.0
17,17516557,11.266666666666666,7408,2022-08-01 02:07:00,University Ave / Armoury St,7389.0,2022-08-01 02:18:00,College Park- Gerrard Entrance,2678,Annual Member,9,127,138,4.0,4.0
351,17640136,7.3,7033,2022-08-06 02:18:00,Union Station,7389.0,2022-08-06 02:25:00,College Park- Gerrard Entrance,6617,Annual Member,26,138,145,4.0,4.0
16,17516533,11.35,7408,2022-08-01 02:05:00,University Ave / Armoury St,7389.0,2022-08-01 02:16:00,College Park- Gerrard Entrance,4084,Annual Member,9,125,136,4.0,4.0
23,17516790,6.366666666666666,7406,2022-08-01 02:45:00,Victoria St / Queen St E,7269.0,2022-08-01 02:51:00,Toronto Eaton Centre (Yonge St),5107,Annual Member,5,165,171,5.0,5.0
325,18290836,2.75,7044,2022-08-31 02:55:00,Church St / Alexander St,7389.0,2022-08-31 02:58:00,College Park- Gerrard Entrance,2940,Annual Member,21,175,178,5.0,5.0
570,17822994,12.716666666666667,7389,2022-08-13 02:59:00,College Park- Gerrard Entrance,7033.0,2022-08-13 03:12:00,Union Station,7042,Annual Member,31,179,192,5.0,6.0
306,17566089,2.9833333333333334,7044,2022-08-03 03:12:00,Church St / Alexander St,7389.0,2022-08-03 03:15:00,College Park- Gerrard Entrance,18,Annual Member,21,192,195,6.0,6.0
307,17590431,3.533333333333333,7044,2022-08-04 03:09:00,Church St / Alexander St,7389.0,2022-08-04 03:13:00,College Park- Gerrard Entrance,5799,Annual Member,21,189,193,6.0,6.0
312,17767972,3.65,7044,2022-08-11 03:04:00,Church St / Alexander St,7389.0,2022-08-11 03:08:00,College Park- Gerrard Entrance,3258,Annual Member,21,184,188,6.0,6.0
321,18109122,2.8333333333333335,7044,2022-08-24 03:16:00,Church St / Alexander St,7389.0,2022-08-24 03:19:00,College Park- Gerrard Entrance,4968,Annual Member,21,196,199,6.0,6.0
322,18159916,3.1,7044,2022-08-26 03:25:00,Church St / Alexander St,7389.0,2022-08-26 03:28:00,College Park- Gerrard Entrance,1513,Annual Member,21,205,208,6.0,6.0
318,17935142,3.0833333333333335,7044,2022-08-17 03:18:00,Church St / Alexander St,7389.0,2022-08-17 03:21:00,College Park- Gerrard Entrance,1508,Annual Member,21,198,201,6.0,6.0
314,17823267,3.0666666666666664,7044,2022-08-13 03:37:00,Church St / Alexander St,7389.0,2022-08-13 03:41:00,College Park- Gerrard Entrance,5071,Annual Member,21,217,221,7.0,7.0
309,17640749,3.35,7044,2022-08-06 03:40:00,Church St / Alexander St,7389.0,2022-08-06 03:43:00,College Park- Gerrard Entrance,1198,Annual Member,21,220,223,7.0,7.0
324,18246464,2.8833333333333333,7044,2022-08-29 03:40:00,Church St / Alexander St,7389.0,2022-08-29 03:43:00,College Park- Gerrard Entrance,2583,Annual Member,21,220,223,7.0,7.0
308,17612223,3.0666666666666664,7044,2022-08-05 03:40:00,Church St / Alexander St,7389.0,2022-08-05 03:43:00,College Park- Gerrard Entrance,3343,Annual Member,21,220,223,7.0,7.0
313,17795212,3.2333333333333334,7044,2022-08-12 03:42:00,Church St / Alexander St,7389.0,2022-08-12 03:46:00,College Park- Gerrard Entrance,546,Annual Member,21,222,226,7.0,7.0
433,18082864,4.466666666666667,7033,2022-08-23 03:52:00,Union Station,7009.0,2022-08-23 03:57:00,King St E / Jarvis St,6145,Annual Member,52,232,237,7.0,7.0
638,18219685,21.25,7044,2022-08-28 04:18:00,Church St / Alexander St,7009.0,2022-08-28 04:39:00,King St E / Jarvis St,4612,Annual Member,10,258,279,8.0,9.0
28,17517303,25.15,7647,2022-08-01 04:19:00,Elm St/ University Ave (East Side),7406.0,2022-08-01 04:44:00,Victoria St / Queen St E,6675,Annual Member,1,259,284,8.0,9.0
