,Start Station Name,Start Time (minutes),NumOfStartTrips,ArrivalRate (minutes)
0,1 Market St - SMART,15.0,2,0.06666666666666667
1,1 Market St - SMART,16.0,4,0.13333333333333333
2,1 Market St - SMART,17.0,4,0.13333333333333333
3,1 Market St - SMART,18.0,1,0.03333333333333333
4,1 Market St - SMART,19.0,5,0.16666666666666666
5,1 Market St - SMART,21.0,1,0.03333333333333333
6,1 Market St - SMART,22.0,1,0.03333333333333333
7,1 Market St - SMART,24.0,1,0.03333333333333333
8,1 Market St - SMART,25.0,4,0.13333333333333333
9,1 Market St - SMART,26.0,3,0.1
10,1 Market St - SMART,27.0,3,0.1
11,1 Market St - SMART,28.0,2,0.06666666666666667
12,1 Market St - SMART,29.0,2,0.06666666666666667
13,1 Market St - SMART,30.0,2,0.06666666666666667
14,1 Market St - SMART,33.0,1,0.03333333333333333
15,1 Market St - SMART,34.0,1,0.03333333333333333
16,1 Market St - SMART,36.0,2,0.06666666666666667
17,1 Market St - SMART,37.0,1,0.03333333333333333
18,1 Market St - SMART,38.0,1,0.03333333333333333
19,1 Market St - SMART,39.0,1,0.03333333333333333
20,1 Market St - SMART,40.0,2,0.06666666666666667
21,1 Market St - SMART,42.0,9,0.3
22,1 Market St - SMART,47.0,2,0.06666666666666667
23,Church St / Alexander St,0.0,1,0.03333333333333333
24,Church St / Alexander St,1.0,3,0.1
25,Church St / Alexander St,2.0,2,0.06666666666666667
26,Church St / Alexander St,5.0,1,0.03333333333333333
27,Church St / Alexander St,6.0,6,0.2
28,Church St / Alexander St,7.0,5,0.16666666666666666
29,Church St / Alexander St,8.0,2,0.06666666666666667
30,Church St / Alexander St,9.0,1,0.03333333333333333
31,Church St / Alexander St,11.0,2,0.06666666666666667
32,Church St / Alexander St,12.0,11,0.36666666666666664
33,Church St / Alexander St,13.0,9,0.3
34,Church St / Alexander St,14.0,7,0.23333333333333334
35,Church St / Alexander St,15.0,2,0.06666666666666667
36,Church St / Alexander St,16.0,1,0.03333333333333333
37,Church St / Alexander St,17.0,3,0.1
38,Church St / Alexander St,18.0,3,0.1
39,Church St / Alexander St,19.0,4,0.13333333333333333
