,Start Station Name,End Station Name,Start Time (per 30min),Avg_Trip_Duration
171,College Park- Gerrard Entrance,Victoria St / Queen St E,0.0,3.8388888888888886
36,Church St / Alexander St,College Park- Gerrard Entrance,0.0,12.45
262,Toronto Eaton Centre (Yonge St),Church St / Alexander St,0.0,14.1
115,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),0.0,11.666666666666666
201,Elm St/ University Ave (East Side),College Park- Gerrard Entrance,0.0,2.1
65,Church St / Alexander St,Union Station,1.0,13.77222222222222
108,College Park- Gerrard Entrance,Church St / Alexander St,1.0,3.25
447,Victoria St / Queen St E,College Park- Gerrard Entrance,1.0,3.5
172,College Park- Gerrard Entrance,Victoria St / Queen St E,1.0,3.65
143,College Park- Gerrard Entrance,Union Station,2.0,9.708333333333332
532,Willcocks St / St. George St,Victoria St / Queen St E,2.0,11.0
330,Union Station,College Park- Gerrard Entrance,2.0,5.833333333333333
49,Church St / Alexander St,King St E / Jarvis St,2.0,10.933333333333334
84,Church St / Alexander St,Victoria St / Queen St E,2.0,22.1
271,Toronto Eaton Centre (Yonge St),College Park- Gerrard Entrance,3.0,3.5666666666666664
412,University Ave / Armoury St,King St E / Jarvis St,3.0,10.533333333333333
357,Union Station,King St E / Jarvis St,3.0,14.883333333333333
448,Victoria St / Queen St E,College Park- Gerrard Entrance,4.0,5.35
331,Union Station,College Park- Gerrard Entrance,4.0,7.3
407,University Ave / Armoury St,College Park- Gerrard Entrance,4.0,12.041666666666666
144,College Park- Gerrard Entrance,Union Station,5.0,12.716666666666667
37,Church St / Alexander St,College Park- Gerrard Entrance,5.0,2.75
479,Victoria St / Queen St E,Toronto Eaton Centre (Yonge St),5.0,6.366666666666666
38,Church St / Alexander St,College Park- Gerrard Entrance,6.0,3.1972222222222224
358,Union Station,King St E / Jarvis St,7.0,4.466666666666667
39,Church St / Alexander St,College Park- Gerrard Entrance,7.0,3.12
66,Church St / Alexander St,Union Station,8.0,11.9
50,Church St / Alexander St,King St E / Jarvis St,8.0,21.25
222,Elm St/ University Ave (East Side),Victoria St / Queen St E,8.0,25.15
198,Elm St/ University Ave (East Side),Church St / Alexander St,9.0,7.3
67,Church St / Alexander St,Union Station,9.0,7.216666666666667
245,King St E / Jarvis St,Union Station,10.0,28.266666666666666
292,Toronto Eaton Centre (Yonge St),Union Station,11.0,8.366666666666667
449,Victoria St / Queen St E,College Park- Gerrard Entrance,11.0,4.966666666666667
68,Church St / Alexander St,Union Station,11.0,7.766666666666667
393,Union Station,Victoria St / Queen St E,11.0,3.0833333333333335
69,Church St / Alexander St,Union Station,12.0,8.663333333333332
520,Willcocks St / St. George St,Toronto Eaton Centre (Yonge St),12.0,8.9
359,Union Station,King St E / Jarvis St,12.0,4.6033333333333335
126,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),12.0,3.283333333333333
85,Church St / Alexander St,Victoria St / Queen St E,12.0,9.566666666666666
348,Union Station,Elm St/ University Ave (East Side),13.0,7.1
86,Church St / Alexander St,Victoria St / Queen St E,13.0,4.527777777777778
145,College Park- Gerrard Entrance,Union Station,13.0,10.633333333333333
127,College Park- Gerrard Entrance,Toronto Eaton Centre (Yonge St),13.0,2.511111111111111
360,Union Station,King St E / Jarvis St,13.0,4.333333333333333
303,Toronto Eaton Centre (Yonge St),Victoria St / Queen St E,13.0,2.1
