,1 Market St - SMART,Church St / Alexander St,College Park- Gerrard Entrance,Elm St/ University Ave (East Side),King St E / Jarvis St,Toronto Eaton Centre (Yonge St),Union Station,University Ave / Armoury St,Victoria St / Queen St E,Willcocks St / St. George St
Church St / Alexander St,0.03636363636363636,0.0,0.04516129032258064,0.057692307692307696,0.07936507936507936,0.11235955056179775,0.0125,0.02564102564102564,0.27927927927927926,0.15217391304347827
College Park- Gerrard Entrance,0.03636363636363636,0.16129032258064516,0.0,0.11538461538461539,0.031746031746031744,0.2247191011235955,0.1625,0.23076923076923078,0.27927927927927926,0.391304347826087
Elm St/ University Ave (East Side),0.2,0.016129032258064516,0.025806451612903226,0.0,0.047619047619047616,0.011235955056179775,0.18125,0.0,0.036036036036036036,0.021739130434782608
King St E / Jarvis St,0.16363636363636364,0.08064516129032258,0.05806451612903226,0.038461538461538464,0.0,0.07865168539325842,0.325,0.10256410256410256,0.15315315315315314,0.021739130434782608
Toronto Eaton Centre (Yonge St),0.21818181818181817,0.056451612903225805,0.14838709677419354,0.019230769230769232,0.12698412698412698,0.0,0.16875,0.05128205128205128,0.04504504504504504,0.06521739130434782
Union Station,0.09090909090909091,0.2903225806451613,0.2,0.5,0.5079365079365079,0.20224719101123595,0.0,0.358974358974359,0.16216216216216217,0.17391304347826086
Victoria St / Queen St E,0.2545454545454545,0.3064516129032258,0.38064516129032255,0.019230769230769232,0.15873015873015872,0.20224719101123595,0.05,0.07692307692307693,0.0,0.10869565217391304
1 Market St - SMART,0.0,0.024193548387096774,0.01935483870967742,0.038461538461538464,0.047619047619047616,0.0898876404494382,0.08125,0.10256410256410256,0.009009009009009009,0.021739130434782608
University Ave / Armoury St,0.0,0.024193548387096774,0.07741935483870968,0.11538461538461539,0.0,0.011235955056179775,0.00625,0.0,0.009009009009009009,0.043478260869565216
Willcocks St / St. George St,0.0,0.04032258064516129,0.04516129032258064,0.09615384615384616,0.0,0.06741573033707865,0.0125,0.05128205128205128,0.02702702702702703,0.0
